Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
190443,2019,Bristol,36 DEBRA LN,138950,215900,0.6436,Single Family,Single Family,1
19463,2019,East Hartford,1098 TOLLAND ST,93640,110000,0.8513,Single Family,Single Family,1
191083,2019,Bristol,115 PINNACLE RD,178220,283000,0.6298,Single Family,Single Family,1
190966,2019,Fairfield,21 TAINTOR DRIVE,683340,900000,0.7593,Single Family,Single Family,1
190523,2019,Killingly,983 PROVIDENCE PIKE,177730,125000,1.4218,Single Family,Single Family,1
190047,2019,Kent,56 STONE FENCES LANE,426200,595000,0.7163,Single Family,Single Family,1
190641,2019,Greenwich,17 WINDABOUT DR,4837000,7500000,0.6449,Single Family,Single Family,1
190113,2019,Easton,99 NORTHWOOD DRIVE,512420,635000,0.807,Single Family,Single Family,1
19000212,2019,Brookfield,4 EVERGREEN DR,227030,360000,0.6306,Single Family,Single Family,1
190069,2019,Easton,65 ADAMS ROAD,1884030,2000000,0.942,Single Family,Single Family,1
190036,2019,Beacon Falls,65 CAMBRIDGE COURT,72440,145000,0.4996,Condo,Condo,0
191203,2019,Danbury,8 GRACE ST,187700,340000,0.5521,Single Family,Single Family,1
19000096,2019,Granby,10 POWDER MILL LN,335790,542500,0.619,Single Family,Single Family,1
19135,2019,Farmington,2 PEARL ST,237130,450000,0.527,Single Family,Single Family,1
190968,2019,Bridgeport,260 NEWFIELD AVE,153020,220000,0.6955,Two Family,Two Family,1
19279,2019,Hartford,166 PRESTON ST,77280,255000,0.3031,Three Family,Three Family,0
190001,2019,Bridgeport,96 TEXAS AVE,136550,250000,0.5462,Single Family,Single Family,0
190028,2019,Brooklyn,TRIPP HOLLOW RD,43500,32000,1.3594,Nan,Nan,0
19000456,2019,Cheshire,1315 DEER RUN CIRCLE,243430,339900,0.7162,Single Family,Single Family,1
190268,2019,Glastonbury,41 RANDOLPH RD,230100,379900,0.6057,Single Family,Single Family,1
190040,2019,Bridgeport,166-168 SIXTH ST,110520,87500,1.2631,Two Family,Two Family,0
190290,2019,Glastonbury,268 TOLL GATE RD,160200,70000,2.2886,Single Family,Single Family,1
190329,2019,Avon,45 SUNNYRIDGE ROAD,203650,340000,0.599,Single Family,Single Family,1
190333,2019,Bridgeport,146 LAUREL PL,126590,207000,0.6115,Single Family,Single Family,0
190061,2019,Berlin,310 FOUR ROD ROAD,220100,302000,0.7288,Single Family,Single Family,0
192492,2019,Bridgeport,59 PLATT PL,165700,326000,0.5083,Single Family,Single Family,1
190727,2019,Fairfield,1280 STRATFIELD ROAD,2558920,4875000,0.5249,Nan,Nan,1
190706,2019,Manchester,40 LYNESS STREET,114900,171800,0.6688,Single Family,Single Family,1
190294,2019,Ledyard,56 WHALEHEAD RD,55370,55000,1.0067,Nan,Nan,1
190510,2019,Fairfield,105 SOUTHPORT WOODS DRIVE,275800,350000,0.788,Condo,Condo,1
1900250,2019,East Haven,83 VIEW TERR,126830,200000,0.6342,Single Family,Single Family,1
191136,2019,Danbury,1 GLEN RD,192400,370000,0.52,Single Family,Single Family,1
190519,2019,Glastonbury,190 OLDE STAGE RD,288500,432000,0.6678,Single Family,Single Family,1
191009,2019,Killingly,593 BAILEY HILL RD,115360,220000,0.5244,Single Family,Single Family,0
190575,2019,Glastonbury,46 SMITHBROOK TER,320000,449900,0.7113,Single Family,Single Family,1
190144,2019,Berlin,18 GARDEN DRIVE,163900,253000,0.6478,Single Family,Single Family,1
190662,2019,Hamden,54 TOWNE HOUSE RD U54,38150,75000,0.5087,Condo,Condo,1
1900378,2019,New Milford,50 BEL AIR,32480,75000,0.4331,Condo,Condo,1
190244,2019,Madison,18 KELSEY PL,266100,436000,0.6103,Single Family,Single Family,1
190567,2019,Glastonbury,89 COPLEY RD,196300,285000,0.6888,Condo,Condo,1
190076,2019,Kent,124 KENT RD,129300,275000,0.4702,Single Family,Single Family,1
190674,2019,Bridgeport,114 COTTAGE ST,86330,305000,0.283,Two Family,Two Family,1
190032,2019,Ellington,113 SHENIPSIT ST,170590,246000,0.6935,Single Family,Single Family,0
190124,2019,Fairfield,138 SUNNYRIDGE AVENUE,264180,305000,0.8662,Single Family,Single Family,0
19309,2019,Farmington,274 MEADOW RD,161920,270000,0.5997,Single Family,Single Family,1
192564,2019,Bridgeport,690 DEWEY ST,114730,415000,0.2765,Two Family,Two Family,1
191187,2019,Fairfield,3129 BURR STREET,491260,801000,0.6133,Single Family,Single Family,1
190429,2019,Greenwich,7 STRAWBRIDGE LANE,903210,1295000,0.6975,Single Family,Single Family,1
190050,2019,Lyme,4 STERLING HILL RD,158600,209100,0.7585,Single Family,Single Family,1
190451,2019,Manchester,58 ASHWORTH STREET,95500,70000,1.3643,Single Family,Single Family,1
190098,2019,Litchfield,285 MARSH RD,133560,170000,0.7856,Single Family,Single Family,1
192459,2019,Bridgeport,225 DIXON ST,110530,180000,0.6141,Single Family,Single Family,1
190030,2019,Bridgeport,39 FIFTH ST,144450,270000,0.535,Two Family,Two Family,0
19003,2019,Franklin,79 HOLTON RD,118240,90000,1.3138,Single Family,Single Family,0
1900415,2019,East Haven,9 MAYNARD RD,158760,325000,0.4885,Single Family,Single Family,1
190514,2019,Manchester,108 HEMLOCK STREET,92600,138000,0.671,Single Family,Single Family,1
190056,2019,Kent,232 SOUTH KENT RD,128400,125000,1.0272,Single Family,Single Family,1
19682,2019,East Hartford,55 DARTMOUTH DR,115800,135000,0.8578,Single Family,Single Family,1
190033,2019,Chester,WIG HILL RD,92240,87500,1.0542,Nan,Nan,1
190143,2019,Madison,101 GARNET PARK RD,610300,1325000,0.4606,Single Family,Single Family,1
19107,2019,Marlborough,85 WEST RD,240170,350000,0.6862,Single Family,Single Family,1
19017,2019,Colchester,12 HIGHWOOD CIR,180900,220000,0.8223,Condo,Condo,0
19276,2019,Hartford,61 GIDDINGS ST,44380,25000,1.7752,Single Family,Single Family,0
190034,2019,Litchfield,72 GOODHOUSE RD,205030,290000,0.707,Single Family,Single Family,0
190417,2019,Killingly,115 THOMPSON PIKE,3780,20000,0.189,Nan,Nan,1
190983,2019,Hamden,114 FOURTH ST,108710,205000,0.5303,Single Family,Single Family,1
192158,2019,Bridgeport,276 SEAVIEW AVE,88730,205000,0.4328,Single Family,Single Family,1
190040,2019,Greenwich,50 BEDFORD RD,1089900,2000000,0.545,Single Family,Single Family,0
190427,2019,Killingly,61 SOAP ST,116900,91075,1.2836,Two Family,Two Family,1
1900518,2019,East Haven,7 HEMLOCK DR,240680,340000,0.7079,Single Family,Single Family,1
190073,2019,Bristol,209 MOODY ST,89460,154000,0.5809,Single Family,Single Family,0
190239,2019,Avon,46 TIMBER LANE,234210,380000,0.6163,Single Family,Single Family,1
190737,2019,Greenwich,"11 RIVER ROAD, UNIT 116",494970,735000,0.6734,Single Family,Single Family,1
1900153,2019,Ansonia,21 PRINDLE AVE,72700,75000,0.9693,Nan,Nan,1
190071,2019,Ledyard,9 CAPT AMOS STANTON DR,194230,273000,0.7115,Single Family,Single Family,1
19180,2019,Derby,87 COMMODORE COMMONS,89390,155000,0.5767,Condo,Condo,1
190025,2019,Harwinton,96 WOODLAND DR,187000,248000,0.754,Single Family,Single Family,0
190065,2019,Lyme,19 BIRCH MILL RD,398000,660000,0.603,Single Family,Single Family,1
190422,2019,Danbury,313 CENTER MEADOW LN,114500,337198,0.3396,Condo,Condo,1
1900142,2019,Ansonia,29 LESTER ST,105800,265000,0.3992,Two Family,Two Family,1
190115,2019,Groton,331 TYLER AVE,230790,380000,0.6073,Single Family,Single Family,0
190430,2019,Danbury,36 POND CREST RD,230400,440000,0.5236,Single Family,Single Family,1
190132,2019,East Lyme,32 COREY LANE,155120,292500,0.5303,Single Family,Single Family,1
19000166,2019,Cheshire,87 COUNTRY CLUB RD,125400,280000,0.4479,Single Family,Single Family,1
19000078,2019,Granby,163 WEST GRANBY RD,132300,150000,0.882,Single Family,Single Family,1
192109,2019,Bridgeport,499 WOODLAWN AVE EXT,106780,225000,0.4746,Single Family,Single Family,1
190156,2019,Hebron,104 OLD COLCHESTER RD,227560,337500,0.6743,Single Family,Single Family,1
190250,2019,Danbury,4 MARBIL RD,157600,260000,0.6062,Single Family,Single Family,0
190267,2019,Madison,230 COPSE RD,242100,469000,0.5162,Single Family,Single Family,1
190253,2019,Hamden,199 WILMOT RD,103740,75000,1.3832,Single Family,Single Family,1
190302,2019,Bridgeport,141 PIXLEE PL,154620,310000,0.4988,Three Family,Three Family,0
190794,2019,Greenwich,7 INDIAN HEAD ROAD,2927960,4650000,0.6297,Single Family,Single Family,1
190130,2019,Berlin,147 LEDGE DRIVE,180700,300000,0.6023,Single Family,Single Family,1
1900178,2019,Ansonia,10 REV TAYLOR DR,177200,148575,1.1927,Single Family,Single Family,1
190044,2019,Hamden,31 LILLIBRIDGE CT,156730,305500,0.513,Single Family,Single Family,0
19000133,2019,Cheshire,40 SOUTHWICK CT U212,64690,112500,0.575,Condo,Condo,1
190257,2019,East Lyme,32 ROXBURY RD,241500,345000,0.7,Single Family,Single Family,1
190189,2019,Glastonbury,148 PENWOOD XING,251400,805179,0.3122,Single Family,Single Family,1
19000406,2019,Cheshire,80 BRIAR CT,227870,434000,0.525,Single Family,Single Family,1
1900210,2019,East Haven,19 DORA DR,187940,250000,0.7518,Single Family,Single Family,1
190371,2019,Bristol,140 HOOVER AVE,109550,174900,0.6264,Single Family,Single Family,1
190300,2019,Bethel,35 A PLUMTREES ROAD,161910,210000,0.771,Condo,Condo,1
190039,2019,Greenwich,1 LAFAYETTE PLACE & 1 EAST PUT,51297680,57500000,0.8921,Nan,Nan,0
19166,2019,Derby,47 ORANGEWOOD WEST,76580,143000,0.5355,Condo,Condo,1
